,License Id,Account Number,Legal Name,Doing Business As Name,Address,License Code,License Description,Latitude,Longitude,Business Type,FIPS,Tract,Block
45250,1690073,86522,"ARAMARK SERVICES, INC",CHICAGO CHRISTIAN INSDUSTRIAL LEAGUE,123 S GREEN ST,1006,Retail Food Establishment,41.87974722,-87.64832178,grocery store,170318331001022,833100,1022
23420,2499957,358881,"NEW VENTURES II, INC.",GATEWAY NEWSTANDS,233 N MICHIGAN AVE 1ST,1781,Tobacco,41.88656737,-87.62438467,restaurant,170313201002030,320100,2030
28100,2554676,385124,Kashvi Inc,Forever Yogurt,1516 W TAYLOR ST 1 1,1006,Retail Food Establishment,41.86939894,-87.6648343,grocery store,170312831002006,283100,2006
12264,2513210,63414,STARBUCKS CORPORATION,STARBUCKS COFFEE #22949,200 N MICHIGAN AVE 1 1,1006,Retail Food Establishment,41.88580155,-87.62465977,grocery store,170313201002014,320100,2014
82805,1537859,258410,SPECIALTY'S CAFE & BAKERY INC,SPECIALTY'S CAFE BAKERY,191 N WACKER DR  125,1006,Retail Food Establishment,41.8855345,-87.63667609,grocery store,170318391001032,839100,1032
439,2076638,86522,"ARAMARK SERVICES, INC",ARAMARK,21 S CLARK ST,1006,Retail Food Establishment,41.88143431,-87.63072038,grocery store,170318391001077,839100,1077
95675,1303408,86014,"CHICAGO MERCANTILE EXCHANGE, INC",CHICAGO MERCANTILE EXCHANGE,30 S WACKER DR  NO'WS,1470,Tavern,41.88140721,-87.63715509,restaurant,170318391001074,839100,1074
25252,2139378,48042,"DISHA, INC.",GATEWAY NEWSTAND,231 S LA SALLE ST  1,1781,Tobacco,41.87854293,-87.63212058,restaurant,170318391001098,839100,1098
82384,1866879,307560,WACKER MEX LLC,TACO FRESCO,29 N WACKER DR,1006,Retail Food Establishment,41.88270036,-87.63663756,grocery store,170318391001054,839100,1054
67640,2143037,213,"1235 W RANDOLPH, INC",INA'S,1235 W RANDOLPH ST 1ST,1006,Retail Food Establishment,41.88411358,-87.65808167,grocery store,170318330002065,833000,2065
93724,2342808,14802,"LASALLE & RANDOLPH REST., LIMITED",CHEF PETROS RESTAURANT & BAKER,160 N LA SALLE ST 1ST,1006,Retail Food Establishment,41.8848189,-87.63257696,grocery store,170318391001043,839100,1043
90263,1940284,65004,"POTBELLY SANDWICH WORKS, LLC",POTBELLY SANDWICH WORKS LLC,1 N LA SALLE ST 1ST,1006,Retail Food Establishment,41.88199007,-87.63221288,grocery store,170318391001063,839100,1063
91979,1582607,17003,"EXPAND INTERNATIONAL, INC",EXPAND INTERNATIONAL,1000 W FULTON MARKET   200,1007,Wholesale Food Establishment,41.8868483,-87.65223416,grocery store,170318330001013,833000,1013
92166,1341771,7551,"BOND DRUG COMPANY OF ILLINOIS, LLC",WALGREENS #04461,501 W ROOSEVELT RD,1006,Retail Food Establishment,41.86714316,-87.63929317,grocery store,170318419002071,841900,2071
17377,1887317,326538,"SHAHZAD TRENDZ, INC.",7-ELEVEN # 33731,954 W MONROE ST,1781,Tobacco,41.88052217,-87.65185446,restaurant,170318331001006,833100,1006
71967,1229457,260,LUPE INC,LUPE INC,1074 W TAYLOR ST 1ST,1006,Retail Food Establishment,41.86957096,-87.65400921,grocery store,170318333001034,833300,1034
76685,1744640,4398,"LASTRADA, INC.",J RANDOLPHS BAR & GRILL,151 N MICHIGAN AVE 1ST,1006,Retail Food Establishment,41.88454011,-87.62430852,grocery store,170313201002029,320100,2029
18221,2136477,303653,PUJA ENTERPRISE INC.,EARLY EDITION,69 W WASHINGTON ST LL,1781,Tobacco,41.88310048,-87.63014723,restaurant,170318391001065,839100,1065
73584,2283951,384602,"R.O.C. HOSPITALITY GROUP, INC.",BODEGA TO GO,201 N CLARK ST 2 FC0006,1006,Retail Food Establishment,41.88577122,-87.63082982,grocery store,170318391001023,839100,1023
69158,1536803,250354,JB SMOOTHIES INC.,FRESH CHIOCE,233 N MICHIGAN AVE  F,1006,Retail Food Establishment,41.88656737,-87.62438467,grocery store,170313201002030,320100,2030
11439,2478569,66022,"COSI, INC.",XANDO COFFEE & BAR / COSI SANDWICH BAR,230 W WASHINGTON ST 1ST,1006,Retail Food Establishment,41.88331786,-87.6347691,grocery store,170318391001049,839100,1049
75385,1637214,222857,F.M.G.S. LLC,TRADER'S,177 W VAN BUREN ST,1006,Retail Food Establishment,41.87674923,-87.63324682,grocery store,170318391002018,839100,2018
18908,1266382,205258,HOLIDAY INN GIFT SHOP INC,HOLIDAY INN GIFT SHOP INC,506 W HARRISON ST 1ST LOBBY,1781,Tobacco,41.87451215,-87.63986471,restaurant,170318419001054,841900,1054
87821,1485115,63414,STARBUCKS CORPORATION,STARBUCKS COFFEE #2230,68 E MADISON ST  1ST,1006,Retail Food Establishment,41.88220547,-87.62538377,grocery store,170313201001018,320100,1018
93252,2045580,267556,"191 NEWSSTANDS, INC.",191 NEWSTANDS INC.,191 N WACKER DR  LOBBY,1006,Retail Food Establishment,41.8855345,-87.63667609,grocery store,170318391001032,839100,1032
23589,1232997,8107,"HDS Retail North America, LP",EASTERN LOBBY SHOP #4007,200 N LA SALLE ST  1ST,1781,Tobacco,41.88576112,-87.63259515,restaurant,170318391001025,839100,1025
67252,1772089,283605,TULSI CORPORATION,NEW COLONY SHOP,39 W VAN BUREN ST,1474,Package Goods,41.87679168,-87.62915286,grocery store,170318391002024,839100,2024
78002,1743896,241,CHICAGO PALM INC,PALM RESTAURANT,323 E WACKER DR,1477,Outdoor Patio,41.88755604,-87.61965509,restaurant,170313201003008,320100,3008
92742,2343551,62544,HYATT CORPORATION,REGENCY CATERERS,151 E WACKER DR  L,1481,Caterer's Liquor License,41.88799989,-87.62256513,restaurant,170313201002019,320100,2019
74099,1816834,315804,FLILLIAN CORPORATION,7-ELEVEN,833 W VAN BUREN ST 1,1474,Package Goods,41.87654385,-87.64847222,grocery store,170318419001012,841900,1012
42267,2579855,23430,"33 RESTAURANT, INC.",THE GRILLROOM,33 W MONROE ST  FIRST,1477,Outdoor Patio,41.88061601,-87.62904943,restaurant,170318391001081,839100,1081
88366,1353774,67871,"SOL CAFE, INC.",CROCODILE LOUNGE,221 W VAN BUREN ST  1ST,1471,Late Hour,41.8767277,-87.63432175,restaurant,170318391002016,839100,2016
93659,1584688,36969,TAKI'S ROYAL FOODS INC,TAKI'S ROYAL FOODS INC,172 N ADA ST 1ST,1007,Wholesale Food Establishment,41.88504112,-87.66090419,grocery store,170318330002038,833000,2038
74575,1304784,256311,CJ GROUP INC,NEW ORLEANS KITCHEN,100 W RANDOLPH ST,1006,Retail Food Establishment,41.88458627,-87.63101045,grocery store,170318391001035,839100,1035
77862,1341417,7028,"MARS & MARS COMPANY, INC.",ALCOCK'S,411 S WELLS ST 1ST,1470,Tavern,41.8765621,-87.63353978,restaurant,170318391002018,839100,2018
72972,1626039,15793,"TUTTO MONDO, INC.",CAFFE BACI,225 W WACKER DR 1ST,1006,Retail Food Establishment,41.88670922,-87.6347109,grocery store,170318391001027,839100,1027
79490,1582325,14795,PEORIA PACKING LIMITED,PEORIA PACKING LTD.,1307 W LAKE ST,1007,Wholesale Food Establishment,41.88535705,-87.65918466,grocery store,170318330002052,833000,2052
80604,1975465,317745,"MUNCHIES, INC.",MUNCHIES,155 N WACKER DR 1 LOBBY,1006,Retail Food Establishment,41.88461562,-87.63668236,grocery store,170318391001045,839100,1045
68602,1232695,7551,"BOND DRUG COMPANY OF ILLINOIS, LLC",WALGREENS #04461,501 W ROOSEVELT RD,1006,Retail Food Establishment,41.86714316,-87.63929317,grocery store,170318419002071,841900,2071
83688,1427719,14513,"HONG'S UNION STATION, INC","HONG'S UNION STATION, INC",225 S CANAL ST,1006,Retail Food Establishment,41.87853128,-87.63942746,grocery store,170312819001001,281900,1001
1810,1831184,63300,"SODEXO MANAGEMENT, INC.",ABN AMRO SVCS - MAIN BANK,135 S LA SALLE ST 43RD,1006,Retail Food Establishment,41.88007991,-87.63216419,grocery store,170318391001083,839100,1083
68403,1754385,85586,SHEDD AQUARIUM SOCIETY,SHEDD AQUARIUM SOCIETY,1200 S LAKE SHORE DR,1006,Retail Food Establishment,41.86748423,-87.61915038,grocery store,170313301004012,330100,4012
67298,1623980,4141,THE TOWER CLUB,THE TOWER CLUB,20 N WACKER DR,1470,Tavern,41.88241091,-87.63717471,restaurant,170318391001058,839100,1058
58052,1486062,85931,GAMA INC,ROSEBUD CAFE,1500 W TAYLOR ST 1ST,1782,"Tobacco Vending, Individual",41.86940905,-87.66419709,restaurant,170312831002006,283100,2006
80069,1411491,23676,"WENDY'S OLD FASHIONED HAMBURGERS OF NEW YORK, INC",WENDY'S OLD FASHIONED HAMBURGERS #000993,23 S WABASH AVE,1006,Retail Food Establishment,41.88148597,-87.6260471,grocery store,170313204001009,320400,1009
20651,2348110,375018,"STAR NEWSSTAND, INC.",GATEWAY,161 N CLARK ST 1ST,1781,Tobacco,41.88477971,-87.63080067,restaurant,170318391001036,839100,1036
80994,1850768,14632,"BOONE'S OPPORTUNITY, INC.",7-ELEVEN,200 N DEARBORN ST  1,1474,Package Goods,41.88579631,-87.62964615,grocery store,170318391001022,839100,1022
91180,2315928,23736,"NAUMAN ENTERPRISES, INC",SIMPLY ELEGANT CATERING,312 N CARPENTER ST,1006,Retail Food Establishment,41.88716723,-87.65349893,grocery store,170318330001014,833000,1014
93042,2125007,8970,"COMPASS GROUP USA, INC.",URBAN MARKET,10 S DEARBORN ST LOWER LEVEL,1006,Retail Food Establishment,41.88180696,-87.62954312,grocery store,170318391001077,839100,1077
29037,2549249,419452,"RMC ADAMS-WELLS, LLC",McDONALD'S #4061,186 W ADAMS ST 1ST,1006,Retail Food Establishment,41.87949996,-87.63335354,grocery store,170318391001095,839100,1095
81181,1582360,15231,BLUE PLATE CATERING LTD.,BLUE PLATE CATERING LTD.,1061 W VAN BUREN ST,1006,Retail Food Establishment,41.87645615,-87.6542958,grocery store,170318333001001,833300,1001
91568,2318253,332129,DELI MANAGEMENT INC.,JASON'S DELI,195 N DEARBORN ST 1ST,1006,Retail Food Establishment,41.88563517,-87.6293469,grocery store,170318391001037,839100,1037
23681,1375426,243403,GIRDHAR CORPORATION,GATEWAY NEWSTAND,1 N LA SALLE ST,1781,Tobacco,41.88199007,-87.63221288,restaurant,170318391001063,839100,1063
70750,1359161,3697,YICK YEUNG CHIU,CHINA INN,223-225 W VAN BUREN ST,1006,Retail Food Establishment,41.87672706,-87.63437683,grocery store,170318391002016,839100,2016
22308,1505272,62856,KANTILAL R PITHADIA,KANTI TOBACCO & GIFT INC,200 S WACKER DR  1ST,1781,Tobacco,41.87928364,-87.6371007,restaurant,170318391002004,839100,2004
23446,1696357,303446,AJIT A GANDHI,SAI CANDY STORE,8 S MICHIGAN AVE  105,1781,Tobacco,41.88189952,-87.62450701,restaurant,170313204001008,320400,1008
88462,2447520,7491,AXION CORPORATION,CERES CAFE,141 W JACKSON BLVD 1ST A112,1477,Outdoor Patio,41.87802566,-87.63206229,restaurant,170318391001106,839100,1106
72450,1542416,147,WALGREEN CO.,WALGREENS # 09001,191 N CLARK ST,1006,Retail Food Establishment,41.88549078,-87.63082227,grocery store,170318391001036,839100,1036
84703,2306708,299062,KAVITA R CHOKSHI,R & R STORES,181 W MADISON ST,1006,Retail Food Establishment,41.88184063,-87.63325509,grocery store,170318391001070,839100,1070
17078,2450384,370772,NAYAK PROPERTIES LLC,NP LOBBY SHOP,111 W MONROE ST 1 1,1781,Tobacco,41.88058227,-87.63120101,restaurant,170318391001083,839100,1083
81269,1806161,7681,CONTE DI SAVOIA INC,CONTE DI SAVOIA INC,1438 W TAYLOR ST,1006,Retail Food Establishment,41.86942476,-87.66318879999999,grocery store,170312831002007,283100,2007
94899,1410499,17887,SILVER FOODS INC,DUNKIN DONUTS,77 W JACKSON BLVD,1006,Retail Food Establishment,41.878040999999996,-87.63049345,grocery store,170318391001104,839100,1104
39545,2498339,65004,"POTBELLY SANDWICH WORKS, LLC",POTBELLY SANDWICH WORKS LLC,303 W MADISON ST,1006,Retail Food Establishment,41.88182249,-87.63543657,grocery store,170318391001072,839100,1072
94591,2424026,147,WALGREEN CO.,WALGREENS #16355,2 N STATE ST 1ST,1474,Package Goods,41.88208275,-87.62796365,grocery store,170318391001075,839100,1075
79927,1625631,14340,SILK ROAD JACKSON,SILK ROAD JACKSON CORPORATION,216 W JACKSON BLVD,1006,Retail Food Establishment,41.87822324,-87.63424738,grocery store,170318391002008,839100,2008
84078,1607046,63352,"ARAMARK EDUCATIONAL SERVICES, LLC",ARAMARK,525 S STATE ST,1006,Retail Food Establishment,41.87517906,-87.62747379,grocery store,170313204001043,320400,1043
81884,1481138,6119,"FOUR STARS RESTAURANT & LOUNGE, INC.",FOUR STARS,1164 W MADISON ST,1470,Tavern,41.88173388,-87.65671488,restaurant,170318330002111,833000,2111
76282,2385170,8970,"COMPASS GROUP USA, INC.",EUREST DINING SERVICES,440 S LA SALLE ST 3,1006,Retail Food Establishment,41.87588847,-87.63188472,grocery store,170318391002020,839100,2020
70905,2452902,147,WALGREEN CO.,WALGREENS #16085,100 W RANDOLPH ST 1ST 101,1006,Retail Food Establishment,41.88458627,-87.63101045,grocery store,170318391001035,839100,1035
9118,1233065,8337,"JRS 626 PARTNERS, INC.",CAFFE LaSCALA OF CHICAGO,626-628 S RACINE AVE # 1ST,1472,Music and Dance,41.87346118,-87.65695845,restaurant,170318329002019,832900,2019
9328,2500301,393629,MIRPUR INC.,ASADA,180 N WELLS ST,1006,Retail Food Establishment,41.885333200000005,-87.63406571,grocery store,170318391001033,839100,1033
79260,1875011,281904,"FANNIE MAY CONFECTIONS, INC.",FANNIE MAY CANDIES,144 S DEARBORN ST 1 106,1006,Retail Food Establishment,41.87959326,-87.62950101,grocery store,170318391001089,839100,1089
29114,1364021,30850,ANSEMOSS & SONS INC,TONY'S BP,1004 S DESPLAINES ST  1ST,1781,Tobacco,41.86953109,-87.64388153,restaurant,170318419002018,841900,2018
75934,1885470,6257,TEN NORTH DEARBORN RESTAURANT CORPORATION,TRATTORIA #10,10 N DEARBORN ST,1006,Retail Food Establishment,41.8822157,-87.62955625,grocery store,170318391001076,839100,1076
55462,2076643,86522,"ARAMARK SERVICES, INC",ARAMARK,21 S CLARK ST,1006,Retail Food Establishment,41.88143431,-87.63072038,grocery store,170318391001077,839100,1077
83906,1524261,17592,JAFFA BAGELS INC.,JAFFA BAKERY,225 N MICHIGAN AVE,1006,Retail Food Establishment,41.88637741,-87.62438167,grocery store,170313201002030,320100,2030
53538,1189373,85952,"A & B TOBACCO,  INC.",A & B FOODMART,212 W WASHINGTON ST  1,1006,Retail Food Establishment,41.88331995,-87.63426843,grocery store,170318391001049,839100,1049
20884,1757274,247929,"JDJG, INC.",7 - ELEVEN,35 E WACKER DR,1781,Tobacco,41.88683151,-87.62655609,restaurant,170313201002012,320100,2012
75218,1581693,8107,"HDS Retail North America, LP",EASTERN LOBBY SHOP #4222,233 N MICHIGAN AVE 1ST,1006,Retail Food Establishment,41.88656737,-87.62438467,grocery store,170313201002030,320100,2030
22332,1372436,201721,"NOCTURNAL ENTERTAINMENTS, INC.",ESTATE,1111-1113 W LAKE ST 1ST,1781,Tobacco,41.88542661,-87.65496569,restaurant,170318330002056,833000,2056
73937,1486770,218911,DEVIYANI P PITHADIA,GOLD COAST CARDS & GIFTS,310 S MICHIGAN AVE,1006,Retail Food Establishment,41.87798781,-87.6244598,grocery store,170313204001017,320400,1017
11753,1815279,296741,"KOHAN KAKU, CORPORATION",KOHAN JAPANESE RESTAURANT,730 W MAXWELL ST,1006,Retail Food Establishment,41.86490157,-87.64629229,grocery store,170318419002041,841900,2041
90940,1351064,207993,ABP CORPORATION,AU BON PAIN,181 W MADISON ST,1006,Retail Food Establishment,41.88184063,-87.63325509,grocery store,170318391001070,839100,1070
74602,2115162,366245,UMAMI INC.,UMAMI ASIAN FUSION,1311 W TAYLOR ST 1,1006,Retail Food Establishment,41.8692618,-87.65965077,grocery store,170312832001007,283200,1007
90771,1240399,63414,STARBUCKS CORPORATION,STARBUCKS COFFEE #282,555 S DEARBORN ST  1ST,1006,Retail Food Establishment,41.87466288,-87.62906529,grocery store,170318391002046,839100,2046
88961,2444709,266364,"SK Card & Gifts, Inc.",Metromart Newsstand,2 N LA SALLE ST,1006,Retail Food Establishment,41.88199229999999,-87.63250663,grocery store,170318391001062,839100,1062
92112,1581803,8676,CHICAGO ATHLETIC ASSOCIATION,CHICAGO ATHLETIC ASSOCIATION,12 S MICHIGAN AVE 8TH,1006,Retail Food Establishment,41.8818033,-87.62450427,grocery store,170313204001008,320400,1008
39864,2570812,15538,TARGET CORPORATION,TARGET (STORE T-2799),1 S STATE ST 1&2,1006,Retail Food Establishment,41.881995200000006,-87.62764725,grocery store,170313204001010,320400,1010
82785,1330964,250354,JB SMOOTHIES INC.,FRESH CHIOCE,233 N MICHIGAN AVE  F,1006,Retail Food Establishment,41.88656737,-87.62438467,grocery store,170313201002030,320100,2030
38671,2476055,407555,"CHICAGO'S ORIGINAL HAROLD'S, INC.",CHICAGO'S ORIGINAL HAROLD'S,518 W HARRISON ST 1,1006,Retail Food Establishment,41.87450605,-87.6403805,grocery store,170318419001054,841900,1054
76435,1167663,217488,"BOSCO ONE , INC",JIMMY JOHN'S GOURMET SANDWICH,247 S STATE ST,1006,Retail Food Establishment,41.87831268,-87.62753416,grocery store,170313204001036,320400,1036
71268,1232015,6525,SOUTH LOOP CLUB INC,SOUTH LOOP CLUB INC,701 S STATE ST,1006,Retail Food Establishment,41.87305558,-87.62741781,grocery store,170313206002005,320600,2005
60069,2047816,343162,"SWEETWATER TAVERN & GRILLE, LLC",SWEETWATER,225 N MICHIGAN AVE 1ST 100,1016,Retail Food Est.-Supplemental License for Dog-Friendly Areas,41.88637741,-87.62438167,grocery store,170313201002030,320100,2030
76945,1239621,62544,HYATT CORPORATION,BIG,151 E WACKER DR  SKYWA,1006,Retail Food Establishment,41.88799989,-87.62256513,grocery store,170313201002019,320100,2019
92227,1490271,9483,"HOSTERIA TUTTO BENE,INC",Tutto Orsi,324 S RACINE AVE,1477,Outdoor Patio,41.8769812,-87.65715348,restaurant,170318331002015,833100,2015
82306,1744636,4398,"LASTRADA, INC.","LASTRADA, INC.",151 N MICHIGAN AVE,1481,Caterer's Liquor License,41.88454011,-87.62430852,restaurant,170313201002029,320100,2029
23539,2313068,370772,NAYAK PROPERTIES LLC,GATEWAY NEWSTANDS,175 W JACKSON BLVD 1ST,1781,Tobacco,41.87801449,-87.63318903,restaurant,170318391001107,839100,1107
82417,1419007,85681,PLATINUM FOODS INC,DUNKIN DONUTS,39 W JACKSON BLVD,1006,Retail Food Establishment,41.87805765,-87.62926895,grocery store,170318391001102,839100,1102
94170,2018240,11336,"CAFFE BACI, INC.",CAFFE BACI INC,231 S LA SALLE ST,1006,Retail Food Establishment,41.87854293,-87.63212058,grocery store,170318391001098,839100,1098
4618,2490038,208948,"DEPASADA RESTAURANT, INC",DEPASADA RESTAURANT,1517 W TAYLOR ST 1ST,1006,Retail Food Establishment,41.86917946,-87.66482776,grocery store,170312831001001,283100,1001
92866,2263671,19446,"EMANON, L.L.C.",BELLY Q / URBAN BELLY II,1400 W RANDOLPH ST 1,1477,Outdoor Patio,41.88427445,-87.66243303,restaurant,170318330002038,833000,2038
82491,1230946,4141,THE TOWER CLUB,THE TOWER CLUB,20 N WACKER DR,1470,Tavern,41.88241091,-87.63717471,restaurant,170318391001058,839100,1058
21664,1587596,85690,THE STANDARD CLUB,THE STANDARD CLUB,320 S PLYMOUTH CT,1781,Tobacco,41.87758853,-87.62888073,restaurant,170318391001102,839100,1102
21682,1481697,8676,CHICAGO ATHLETIC ASSOCIATION,CHICAGO ATHLETIC ASSOCIATION,12 S MICHIGAN AVE 2ND #,1781,Tobacco,41.8818033,-87.62450427,restaurant,170313204001008,320400,1008
74331,1904875,330816,"BINDU ENTERPRISES, INC.",GATEWAY NEWSTAND,300 S RIVERSIDE PLZ 1 1,1006,Retail Food Establishment,41.87797514,-87.63842217,grocery store,170312819001005,281900,1005
25342,1533186,85952,"A & B TOBACCO,  INC.",A & B TOBACCO,400 S LA SALLE ST,1781,Tobacco,41.87680832,-87.63191631,restaurant,170318391002020,839100,2020
81494,1381720,265942,"POTTER'S BAR PALMER HOUSE, LLC",POTTER'S,17 E MONROE ST 2,1006,Retail Food Establishment,41.88066458,-87.62708936,grocery store,170313204001011,320400,1011
23883,2196814,376798,"DHORAJI, INC.",URBAN GROCERY,729 S STATE ST 1ST,1781,Tobacco,41.87239187,-87.62739612,restaurant,170313206002005,320600,2005
68889,1742838,308898,BIN & VIN CORP,QUIZNOS SUB,333 S FRANKLIN ST 1,1006,Retail Food Establishment,41.87730519,-87.63504206,grocery store,170318391002013,839100,2013
87305,2018376,23430,"33 RESTAURANT, INC.",THE GRILLROOM,33 W MONROE ST  FIRST,1006,Retail Food Establishment,41.88061601,-87.62904943,grocery store,170318391001081,839100,1081
64369,1166088,52912,"Corporate Family Solutions, Inc.",NORTHEN TRUST CHILD CARE C,801 S CANAL ST  1ST F,1584,Day Care Center 2 - 6 Years,41.87199613,-87.63920429,school,170318419002001,841900,2001
81584,1645461,296406,"THIRD RAIL TAVERN, INC.",THIRD RAIL TAVERN,1133 W MADISON ST,1470,Tavern,41.88153436,-87.65565022,restaurant,170318331001012,833100,1012
2214,2484610,16721,CENTRAL FOODS INC,BASKIN ROBBINS,1231 S WABASH AVE,1006,Retail Food Establishment,41.8665721,-87.62566434,grocery store,170313301001003,330100,1003
70077,1906350,63352,"ARAMARK EDUCATIONAL SERVICES, LLC",ARAMARK,430 S MICHIGAN AVE,1006,Retail Food Establishment,41.87624813,-87.62441919,grocery store,170313204001032,320400,1032
86889,1683762,6119,"FOUR STARS RESTAURANT & LOUNGE, INC.",FOUR STARS,1164 W MADISON ST,1470,Tavern,41.88173388,-87.65671488,restaurant,170318330002111,833000,2111
85511,1864234,288200,"WASHINGTON & WELLS FINEST COFFEE, INC.",DUNKIN DONUTS,220 W WASHINGTON ST,1006,Retail Food Establishment,41.88331916,-87.63449085,grocery store,170318391001049,839100,1049
82748,2374967,4154,"MARRIOTT HOTEL SERVICES, INC.",JW MARRIOTT HOTEL CHICAGO,151 W ADAMS ST,1006,Retail Food Establishment,41.87929007,-87.63236273,grocery store,170318391001096,839100,1096
71020,1581216,6257,TEN NORTH DEARBORN RESTAURANT CORPORATION,TRATTORIA #10,10 N DEARBORN ST,1470,Tavern,41.8822157,-87.62955625,restaurant,170318391001076,839100,1076
18534,1891482,321615,KALYAN RAIJI CORPORATION,MARQUETTE NEWSSTAND,140 S DEARBORN ST 1ST 116,1781,Tobacco,41.87967604,-87.62950228,restaurant,170318391001089,839100,1089
25279,2499960,358881,"NEW VENTURES II, INC.",GATEWAY NEWSTAND,111 W WASHINGTON ST 1ST,1781,Tobacco,41.88310096,-87.63126322,restaurant,170318391001064,839100,1064
69669,1233408,9384,WHITE HEN PANTRY #090131,WHITE HEN PANTRY #0-9013-1,833 W VAN BUREN ST,1006,Retail Food Establishment,41.87654385,-87.64847222,grocery store,170318419001012,841900,1012
29627,2533265,374941,"DMK VENTURES-TAYLOR STREET, LLC",COUNTY BARBEQUE,1352 W TAYLOR ST 1,1006,Retail Food Establishment,41.86945394,-87.66133829,grocery store,170312832001006,283200,1006
93819,2428099,401416,BACCI PIZZA FRANKLIN INC.,BACCI PIZZA FRANKLIN,162 N FRANKLIN ST  100,1006,Retail Food Establishment,41.88487225,-87.63553722,grocery store,170318391001045,839100,1045
95257,1422324,252921,"KMG ENTERPRISES, LLC",WHITE HEN PANTRY,71 E MONROE ST,1006,Retail Food Establishment,41.8807014,-87.62506894,grocery store,170313204001013,320400,1013
41521,2019949,295802,"B. PATEL, INC.",RIVER CITY MARKET,800 S WELLS ST MEZZANINE M60,1474,Package Goods,41.87208635,-87.63371847,grocery store,170318390002001,839000,2001
83631,2143759,28550,INTERNAT'L SEAFOODS OF CHICAGO IN,INTERNAT'L SEAFOODS OF CHGO IN,1135 W LAKE ST 1ST,1007,Wholesale Food Establishment,41.88541117,-87.65578095,grocery store,170318330002054,833000,2054
73023,1241804,85888,KWAN HONG INC,SIXTY FIVE  RESTAURANT AND  BAKERY,336 N MICHIGAN AVE,1006,Retail Food Establishment,41.88762283,-87.62470231,grocery store,170313201002015,320100,2015
71063,2161632,354806,Diversey Cafe Inc.,Stax Cafe,1401 W TAYLOR ST 1,1006,Retail Food Establishment,41.86922879,-87.66170015,grocery store,170312831001000,283100,1000
92825,1437774,222062,MOONSTRUCK CHOCOLATE CO,MOONSTRUCK CHOCOLATE CO,320 N MICHIGAN AVE,1006,Retail Food Establishment,41.88729071,-87.62469528,grocery store,170313201002015,320100,2015
71322,1427957,15793,"TUTTO MONDO, INC.",CAFFE BACI,225 W WACKER DR 1ST,1006,Retail Food Establishment,41.88670922,-87.6347109,grocery store,170318391001027,839100,1027
70501,1647367,297260,"BONJOUR CAFE, INC.",BONJOUR CAFE,100 W RANDOLPH ST  115,1006,Retail Food Establishment,41.88458627,-87.63101045,grocery store,170318391001035,839100,1035
69821,1523664,15466,"KANTI'S  LIFESTYLES, INC.","KANTI'S LIFESTYLES,  INC.",161 N CLARK ST,1006,Retail Food Establishment,41.88477971,-87.63080067,grocery store,170318391001036,839100,1036
19065,1206058,34202,PARIKH SUNIT/SHAH PRAMOD,SHAH & PARIKH PTR,14 E JACKSON BLVD 1ST,1781,Tobacco,41.87833292,-87.62717897,restaurant,170313204001036,320400,1036
6007,1242220,87212,"MAINSTAY MANAGEMENT, LLC",THE CHICAGO FIREHOUSE REST.,1401 S MICHIGAN AVE  BSMT/,1006,Retail Food Establishment,41.8640026,-87.62393205,grocery store,170313301003008,330100,3008
67706,1896282,58299,C P & C ANTONOPOULOS,EXPO FOODS,1140 W RANDOLPH ST 1ST,1007,Wholesale Food Establishment,41.88436611,-87.65597919,grocery store,170318330002060,833000,2060
92596,2023012,9511,DOPPES LTD.,FRANCESCA'S ON TAYLOR,1400 W TAYLOR ST 1ST,1006,Retail Food Establishment,41.86944828,-87.66170605,grocery store,170312831002001,283100,2001
72171,1587037,67871,"SOL CAFE, INC.",CROCODILE LOUNGE,221 W VAN BUREN ST  1ST,1471,Late Hour,41.8767277,-87.63432175,restaurant,170318391002016,839100,2016
86202,1897579,299735,HADAS CO.,KOREAN SEOUL FOOD,560 W VAN BUREN ST,1006,Retail Food Establishment,41.87684968,-87.64198533,grocery store,170312819001023,281900,1023
41812,2584762,15231,BLUE PLATE CATERING LTD.,BLUE PLATE CATERING LTD.,333 N OGDEN AVE 1,1006,Retail Food Establishment,41.88737641,-87.66144306,grocery store,170318330002015,833000,2015
86494,1951133,86522,"ARAMARK SERVICES, INC",ARAMARK,21 S CLARK ST,1006,Retail Food Establishment,41.88143431,-87.63072038,grocery store,170318391001077,839100,1077
21430,1527147,32222,HEMIN CORPORATION,CHOICE COMPANY CARDS & GIFT,200 E RANDOLPH ST 1ST,1781,Tobacco,41.88463208,-87.62224799,restaurant,170313201002032,320100,2032
94408,2144898,272878,"BESPOKE CUISINE, INC.","BESPOKE CUISINE, INC.",1358 W RANDOLPH ST,1006,Retail Food Establishment,41.88429171,-87.66106144,grocery store,170318330002038,833000,2038
16383,2481507,355964,"PRET A MANGER (USA), LIMITED",Pret a Manger,225 N MICHIGAN AVE 1ST,1006,Retail Food Establishment,41.88637741,-87.62438167,grocery store,170313201002030,320100,2030
76576,1482609,20380,"LA SARDINE, INC.","LA SARDINE, INC.",111 N CARPENTER ST 1ST,1006,Retail Food Establishment,41.88338938,-87.6530979,grocery store,170318330001053,833000,1053
